challonge_name,challonge_user_id,lp_name,player_link
Clem_sc2, 2073649, Clem
sc2_herO, 1913326, herO, HerO (Kim Joon Ho)
MaxPaxSC2, 3812280, MaxPax
SC2_Solar, 572168, Solar
ByuN, 1190538, ByuN
SKillous, 1293566, SKillous
Shameless11, 5217629, Shameless
Nicoract, 2502108, Nicoract
Jumy, 3464679, Jumy
GgMаChine, 6547519, GgMaChine
milkicow, 5288491, MilkiCow
Fjant, 1808646, Fjant
Babymarine, 1224360, BabyMarine
MindelVK, 669273, MindelVK
SC2ReBellioN(LB FF), 1825815, ReBellioN
Replicantsc, 4228542, Replicant, Replicant (Kazakhstani player)
RotterdaM08, 1558364, RotterdaM
LetaleX, 7034888, LetaleX
Hupsaiya, 747082, Hupsaiya
promeee, 7031226, prome
HackErIsTop, 4311964, HackErIsTop
PatchesSC2, 4931331, Patches, Patches (American player)
HeroMarine_, 1174875, HeRoMaRinE
gerald23sc2, 1247808, Gerald
SC2_Percival, 3698535, Percival
YoungYakov, 2195212, YoungYakov
Mixu, 2554864, Mixu
BRAT_OK, 81991, Brat_OK
FoxeR, 697528, FoxeR
m1chn3k, 5301386, Michnek
LiquidCure, 1058746, Cure
triggerSC, 787112, trigger
INexorable, 4584610, INexorable
Gref93, 4992583, Gref
gumiho, 907771, GuMiho
elazer, 884898, Elazer
Sc2Rex, 432345, Rex
KokaLaFripouille, 2185205, Koka
KrystianerSC, 2549866, Krystianer
LiquidMaNa, 880269, MaNa
Harstem, 337129, Harstem
ibabattlenet, 4921981, Iba
sebesdes, 3041921, sebesdes
hinO_, 923668, hinO
Blutmilan, 4104503, Blutmilan
FireKlaw, 2069393, FireKlaw
ShoWTimE_462, 746431, ShoWTimE
WBG_SHIN, 336057, SHIN
SC2_Classic, 1893244, Classic, Classic (Kim Doh Woo)
SC2_NightMare, 1971434, NightMare
creator123, 1545941, Creator
number, 6668116, Number, Number (Chinese player)
PcEc南忧, 6089586, 南忧
cookedMonO, 2152801, HonMonO
Lambo_295, 605147, Lambo
Rogue123, 2339800, Rogue
ART__sc2, 4184047, ART
Dmega, 337105, Dmega
VITRyung, 335761, Ryung
boanaan, 3964282, boanaan
FalconsBunny, 1901400, Bunny, Bunny (Korean player)
uThermal, 890402, uThermal
lovesc2, 336059, TaeJa
GdA_Legendk, 306001, Legendk
Mute_sc2, 2892862, Mute
FlexySC, 3873215, Flexy
IndyStarCraft, 1164006, Indy
Nihed, 1335800, Nihed
F2ClicK, 6554752, F2ClicK
Nice12, 1199058, Nice
Reynor, 1016271, Reynor
goblin1, 2683569, goblin
FIGARO, 1492195, FIGARO
BBEx_Azura, 4590467, Azura
goswser, 80015, Goswser
acheronii, 4467955, acheron
ErebusBlack, 2349954, ErebusBlack
MasTeR, 4154446, MasTeR
DolanSC, 1270601, Dolan
highdra, 3387283, HiGhDrA
Ghostisc2, 3516654, Ghosti
Bulmyeolja, 4682269, Bulmyeolja
ShaDoWn, 1263537, ShaDoWn
MiniZergUA, 6317783, MiniZergUA
gunner_sc2, 4891616, gunner
Luolis, 377730, Luolis
Magnath, 3574884, Magnath
lemon, 3103145, Lemon
arrogfire, 2840644, Arrogfire
Matrixx, 4080030, Matrixx
Spiritsc2, 884882, Spirit
moja, 2420436, Moja
Shinø, 1686941, Shino
LunaSea_KR, 3058263, LunaSea
fallengersc2, 1829108, Fallenger
Abbadonnn, 2877328, Abbadon
Greenert, 885094, Greenert
davetesta, 3441819, DaveTesta
Firefly123, 1867096, Firefly
Strange, 1265254, Strange
Wayne_sc2, 6993232, Wayne
ArT_sc2, 1552645, ArT
UpATree, 298693, UpATree
Rodzyn, 894723, Rodzyn
Orianasc2, 4074516, Oriana
specialsc2, 5535998, SpeCial
Ordinary1, 1827158, Chance, Chance (Korean player)
DefMarsSC, 4626774, DefMars